timestamp,price,vwap_ratio,volume_accel,orderbook_imbal,volatility,liquidity,momentum,direction
1766347501907,125.6969,127,0,128,3,253,128,0
1766347511981,125.7160,127,0,128,3,253,128,0
1766347522146,125.6991,127,37,128,3,253,128,0
1766347532223,125.6942,127,40,127,3,253,128,0
1766347542393,125.6714,128,96,127,3,253,128,0
1766347552474,125.6726,128,96,127,3,253,128,0
1766347562558,125.6689,128,60,127,3,253,128,0
1766347572699,125.6958,127,81,127,3,253,128,0
1766347582829,125.7052,127,240,128,2,253,128,0
1766347592906,125.7069,127,156,128,2,253,128,0
1766347602993,125.7166,127,97,128,2,253,128,0
1766347613082,125.7127,127,97,128,2,253,128,0
1766347623152,125.7127,127,0,128,2,253,127,0
1766347633224,125.7152,127,0,128,2,253,128,0
1766347643301,125.7169,127,0,128,2,253,128,0
1766347653374,125.7166,127,0,128,1,253,128,0
1766347663453,125.7168,127,0,128,1,253,128,0
1766347673590,125.7162,127,0,128,1,253,128,0
1766347683669,125.7109,128,0,127,0,253,128,0
1766347693743,125.7076,128,18,127,0,253,128,0
1766347703818,125.7090,128,22,127,0,253,128,0
1766347713900,125.7142,127,255,127,0,253,127,0
1766347723982,125.6961,128,255,127,1,253,127,0
1766347734069,125.6946,128,255,127,1,253,127,0
1766347744274,125.6861,128,255,127,1,253,127,0
1766347754346,125.6804,128,255,127,1,253,127,0
1766347764418,125.6772,128,255,127,1,253,127,0
1766347774564,125.6450,128,255,127,2,253,127,0
1766347784639,125.5957,128,255,126,3,253,126,0
1766347794720,125.5845,128,255,126,3,253,126,0
1766347804800,125.5792,128,255,126,3,253,126,0
1766347814872,125.5913,128,255,127,3,253,126,0
1766347824954,125.6003,128,255,127,4,253,126,0
1766347835025,125.6266,128,119,128,4,253,127,0
1766347845107,125.6124,128,17,128,4,253,127,0
1766347855230,125.5951,128,32,128,4,253,127,0
1766347865305,125.5854,128,29,127,4,253,127,0
1766347875400,125.5216,128,177,127,5,253,126,0
1766347885474,125.5695,128,255,127,6,253,127,0
1766347895657,125.5848,128,255,127,5,253,127,0
1766347905734,125.5691,128,255,127,5,253,127,0
1766347915895,125.5744,128,255,127,5,253,127,0
1766347925991,125.5833,128,243,128,5,253,127,0
1766347936106,125.5741,128,0,128,5,253,127,0
1766347946194,125.5687,128,0,127,5,253,127,0
1766347956266,125.5661,128,0,127,5,253,127,0
1766347966345,125.5580,128,0,127,5,253,127,0
1766347976431,125.5554,128,0,127,5,253,127,0
1766347986509,125.5652,128,0,127,3,253,128,0
